Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item,Frequency,Pronunciation,Letters,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Mean Shortest Path
loon,4,880,1.41,"l""un",3,1,{loon},"{l""un}",1,NN,696.62,0.64,,loon,1.41,L UW N,4,11,0.23636363636363636,6.460128177588034e-05,0.013503414538527629,-4.1206836182780557e-17,
loop,4,16305,6.76,"l""up",3,1,{loop},"{l""up}",1,NN|VB,573.47,1,,loop,6.76,L UW P,4,6,0.4666666666666667,1.2288352053769492e-05,0.013430380429782486,-3.321644198018715e-17,
loot,4,999,3.55,"l""ut",3,1,{loot},"{l""ut}",1,NN|VB,664.44,0.97,,loot,3.55,L UW T,4,12,0.4090909090909091,5.2255603046875084e-05,0.014446105742160691,-1.0337856618365113e-16,
lope,4,80,0.12,"l""op",3,1,{lope},"{l""op}",1,VB|NN,825.32,0.65,,lope,0.12,L OW P,4,10,0.4444444444444444,5.79764727709058e-06,0.01387873603023293,-1.9722485903825354e-17,
lord,4,38009,138.16,"l""Ord",4,1,{lord},"{l""Ord}",1,NN|VB,627.36,0.94,,lord,138.16,L AO R D,4,7,0.19047619047619047,4.855894188656512e-05,0.014546743590902784,-9.694485725784683e-18,
lore,4,3849,0.67,"l""Or",3,1,{lore},"{l""Or}",1,NN,746.4,0.76,,lore,0.67,L OW R,4,14,0.34065934065934067,6.44979200365704e-05,0.015251864628177621,-5.34093364576882e-17,
lose,4,38347,164.35,"l""uz",3,1,{lose},"{l""uz}",1,VB,671.12,0.97,,lose,164.35,L UW Z,4,11,0.36363636363636365,3.4588001497884846e-05,0.014218079931931598,-1.790688749758953e-17,
loss,4,30002,29.12,"l""Os",3,1,{loss},"{l""Os}",1,NN,566.53,1,,loss,29.12,L AO S,4,8,0.25,3.1096895118667984e-05,0.013125318931448856,-1.6714971935226732e-17,
lots,4,70143,60.16,"l""Ats",4,1,{lot}>s>,"{l""At}>s>",2,NN,548.94,0.97,,lots,60.16,L AA T S,4,1,0.0,0.0,0.011101647235396568,2.0181051838713266e-18,
loud,4,11931,39.82,"l""aUd",3,1,{loud},"{l""aUd}",1,JJ|NN,551.33,1,,loud,39.82,L AW D,4,2,1.0,0.0,0.01275187127274698,-6.866807905706221e-19,
love,4,165830,1114.98,"l""Vv",3,1,{love},"{l""Vv}",1,NN|VB,492.81,1,,love,1114.98,L AH V,4,10,0.35555555555555557,1.3203732939260833e-05,0.013967350641553966,-2.2387678956356775e-17,
luck,4,60629,153.73,"l""Vk",3,1,{luck},"{l""Vk}",1,NN,575.74,0.94,,luck,153.73,L AH K,4,11,0.32727272727272727,2.275193507417788e-05,0.013329063182959813,-3.815570373044146e-17,
Lucy,4,3448,41.8,"l""u.si",4,2,{lucy},"{l""u.si}",1,NN,656.13,1,,lucy,41.8,L UW S IY,4,2,0.0,3.729549913167206e-07,0.011597731951545315,-4.437085930887536e-18,
left,4,132017,484.45,"l""Eft",4,1,{left},"{l""Eft}",1,VB|NN|JJ,573.15,0.97,,left,484.45,L EH F T,4,5,0.2,1.906650114423382e-05,0.013517321247630129,9.417191320391383e-18,
lend,4,2983,11.67,"l""End",4,1,{lend},"{l""End}",1,VB,579.87,0.94,,lend,11.67,L EH N D,4,9,0.3055555555555556,3.602858227643191e-05,0.014074330962031555,-8.62726300106574e-18,
lens,4,9343,4.67,"l""Enz",4,1,{lens},"{l""Enz}",1,NN,605.52,0.94,,lens,4.67,L EH N Z,4,2,0.0,5.907303759881209e-06,0.012319285669099221,1.0139029707819658e-18,
less,4,158428,111.1,"l""Es",3,1,{less},"{l""Es}",1,JJ|RB|minor,576.18,0.97,,less,111.1,L EH S,4,5,0.1,1.6535379360721212e-05,0.012914989108819509,1.0834480495223282e-18,
lest,4,2928,1.96,"l""Est",4,1,{lest},"{l""Est}",1,minor,771.11,0.58,,lest,1.96,L EH S T,4,14,0.42857142857142855,4.863673366287548e-05,0.014382785303716655,9.348466398292937e-17,
levy,4,2155,1.94,"l""E.vi",4,2,{levy},"{l""E.vi}",1,VB|NN,696.59,0.91,,levy,1.94,L EH V IY,4,1,0.0,0.0,5.6341202321257534e-05,-1.9706167526199007e-18,
lewd,4,1745,1.27,"l""ud",3,1,{lewd},"{l""ud}",1,JJ,627.1,0.62,,lewd,1.27,L UW D,4,2,1.0,0.0,0.012517334130809535,-6.479179553309007e-19,
liar,4,6138,35.14,"l""aI@`",3,1,{li}>ar>,"{l""aI}>@`>",2,NN,687.53,1,,liar,35.14,L AY AH R,4,0,0.0,0.0,0.0,7.765812188139614e-19,
lick,4,4418,10.96,"l""Ik",3,1,{lick},"{l""Ik}",1,VB|NN,610.03,1,,lick,10.96,L IH K,4,12,0.4696969696969697,1.8501815956885003e-05,0.01377469752925667,-8.598494135789568e-17,
lied,4,4456,43.8,"l""aId",3,1,{lie}>ed>,"{l""aI}>d>",2,VB,669.45,0.94,,lied,43.8,L IY T,4,2,1.0,0.0,0.008653784733930676,-6.232643370216425e-19,
lien,4,760,0.57,"l""i@n",4,1,{lien},"{l""i@n}",1,NN,834.93,0.45,,lien,0.57,L IY N,4,4,0.16666666666666666,2.427865198067262e-05,0.009834856831528795,1.4276274948392362e-18,
lieu,4,1941,1.12,"l""u",2,1,{lieu},"{l""u}",1,NN,765.74,0.68,,lieu,1.12,L UW,4,2,1.0,0.0,0.008653784733930676,-3.135938272630036e-18,
life,4,219561,796.65,"l""aIf",3,1,{life},"{l""aIf}",1,NN,519.56,0.97,,life,796.65,L AY F,4,6,0.4,1.9977735070769622e-05,0.013581261274226457,-4.140944771242032e-17,
lift,4,9806,34.14,"l""Ift",4,1,{lift},"{l""Ift}",1,VB|NN,566.97,0.97,,lift,34.14,L IH F T,4,9,0.19444444444444445,4.318285638279349e-05,0.01403562977698472,-7.488928644471993e-18,
like,4,1060831,3998.96,"l""aIk",3,1,{like},"{l""aIk}",1,minor|VB|NN|JJ,571.03,0.97,,like,3998.96,L AY K,4,8,0.32142857142857145,6.591569690273984e-06,0.013305898989158868,-5.87948333100838e-17,
lilt,4,68,0.24,"l""Ilt",4,1,{lilt},"{l""Ilt}",1,NN|VB,631.9,0.33,,lilt,0.24,L IH L T,4,10,0.4,2.1135057266662156e-05,0.013931346856731157,-1.1849015351108305e-17,
lily,4,2643,26.86,"l""I.li",4,2,{lily},"{l""I.li}",1,NN,641.37,0.94,,lily,26.86,L IH L IY,4,3,0.3333333333333333,3.5433673688108393e-06,0.01233417002552584,-3.1353388159005223e-18,
limb,4,2127,4.67,"l""Im",3,1,{limb},"{l""Im}",1,NN,612.76,0.97,,limb,4.67,L IH M,4,3,0.3333333333333333,6.137277210163762e-07,0.01142325407436802,-7.20800659517676e-18,
lime,4,2086,3.29,"l""aIm",3,1,{lime},"{l""aIm}",1,NN|VB,595.79,1,,lime,3.29,L AY M,4,10,0.2222222222222222,2.8904387126271692e-05,0.013174251866954687,-5.931162580133678e-17,
limp,4,1596,3.67,"l""Imp",4,1,{limp},"{l""Imp}",1,JJ|NN|VB,613.39,0.94,,limp,3.67,L IH M P,4,6,0.13333333333333333,3.1302332320019186e-05,0.012201491702542097,-8.869551933615307e-18,
line,4,239804,206.18,"l""aIn",3,1,{line},"{l""aIn}",1,NN|VB,656.9,0.94,,line,206.18,L AY N,4,17,0.3235294117647059,4.8306654142741176e-05,0.014672186604941231,-1.5324368196252274e-16,
link,4,39054,11.94,"l""INk",4,1,{link},"{l""INk}",1,NN|VB,615.36,1,,link,11.94,L IH NG K,4,8,0.39285714285714285,1.5561103887506737e-05,0.013768504798462759,-4.300535328826167e-17,
lint,4,1004,1.33,"l""Int",4,1,{lint},"{l""Int}",1,NN,584.32,0.94,,lint,1.33,L IH N T,4,9,0.2777777777777778,2.989966002487954e-05,0.014464299829997165,-2.559683244028235e-17,
lion,4,7671,15.35,"l""aI@n",4,1,{lion},"{l""aI@n}",1,NN,531.33,0.97,,lion,15.35,L AY IH N,4,2,0.0,3.232920917510067e-05,0.01138221413777775,-8.617546051535176e-18,
lace,4,3285,3.71,"l""es",3,1,{lace},"{l""es}",1,NN|VB,644.39,0.97,,lace,3.71,L EY S,4,10,0.3111111111111111,3.0437529645623726e-05,0.014033485950838856,-9.540013404343978e-17,
lack,4,41016,17.75,"l""ak",3,1,{lack},"{l""ak}",1,NN|VB,555.69,0.94,,lack,17.75,L AE K,4,12,0.2878787878787879,4.3719265258873256e-05,0.014306638511389285,-6.688474195678243e-17,
lacy,4,759,0.63,"l""es.i",4,2,{lace}>y>,"{l""es}.>i>",2,JJ,784.72,0.97,,lacy,0.63,L EY S IY,4,6,0.13333333333333333,1.2341717536542838e-05,0.0125910966863289,-1.4176973536811104e-17,
lady,4,25980,217.08,"l""e.4i",4,2,{lady},"{l""e.4i}",1,NN,543.85,0.97,,lady,217.08,L EY D IY,4,2,1.0,0.0,0.01079384780546781,-2.5208206879769206e-18,
lair,4,1488,2.41,"l""Er",3,1,{lair},"{l""Er}",1,NN,687.26,0.7,,lair,2.41,L AE R,4,3,1.0,0.0,0.01067223051691741,4.830008155565893e-18,
lake,4,21614,36.0,"l""ek",3,1,{lake},"{l""ek}",1,NN,589.82,1,,lake,36.0,L EY K,4,14,0.4175824175824176,1.080058276681368e-05,0.013832766112638058,-2.1553695789207605e-16,
lamb,4,3444,10.63,"l""am",3,1,{lamb},"{l""am}",1,NN,554.53,0.97,,lamb,10.63,L AE M,4,3,0.3333333333333333,9.672359823169293e-07,0.011719034760222192,-1.0936431790816676e-17,
lame,4,7593,10.92,"l""em",3,1,{lame},"{l""em}",1,JJ|NN|VB,603.37,0.88,,lame,10.92,L EY M,4,14,0.2857142857142857,3.660044514391964e-05,0.013651891904924515,-1.0122227882406029e-16,
lamp,4,6657,12.88,"l""amp",4,1,{lamp},"{l""amp}",1,NN,587.85,1,,lamp,12.88,L AE M P,4,9,0.3333333333333333,2.16967465544621e-05,0.012414164642635048,-1.3320611273516568e-17,
land,4,75075,88.12,"l""and",4,1,{land},"{l""and}",1,NN|VB,594.15,0.97,,land,88.12,L AE N D,4,7,0.2857142857142857,2.76308528060125e-05,0.014396307195258851,-1.633525022072099e-17,
lane,4,14139,33.41,"l""en",3,1,{lane},"{l""en}",1,NN,668.81,0.97,,lane,33.41,L EY N,4,13,0.2692307692307692,5.634762223156773e-05,0.014862056376600126,-1.6201908502046858e-16,
lard,4,602,1.69,"l""Ard",4,1,{lard},"{l""Ard}",1,NN,700.75,0.8,,lard,1.69,L AA R D,4,8,0.35714285714285715,1.5701477819056458e-05,0.014412114905120312,-4.3434905700880687e-17,
lark,4,659,1.63,"l""Ark",4,1,{lark},"{l""Ark}",1,NN|VB,655.06,0.94,,lark,1.63,L AA R K,4,8,0.35714285714285715,1.1136129884200586e-05,0.014027058400021677,-2.970602810031353e-17,
lash,4,649,1.67,"l""aS",3,1,{lash},"{l""aS}",1,NN|VB,702.73,0.94,,lash,1.67,L AE SH,4,12,0.4393939393939394,2.0301726676639622e-05,0.012945925393848385,-2.1909884558075995e-16,
lass,4,725,2.67,"l""as",3,1,{lass},"{l""as}",1,NN,766.68,0.67,,lass,2.67,L AE S,4,7,0.23809523809523808,8.600507559143573e-06,0.012995365278662234,-5.462187558022793e-17,
last,4,291284,723.1,"l""ast",4,1,{last},"{l""ast}",1,JJ|NN|VB|RB,548.13,0.97,,last,723.1,L AE S T,4,11,0.34545454545454546,3.243351673666171e-05,0.014462023063142135,-8.481211572929241e-17,
late,4,55030,269.73,"l""et",3,1,{late},"{l""et}",1,JJ|RB,551.8,0.94,,late,269.73,L EY T,4,14,0.34065934065934067,2.426677057599582e-05,0.013747902516855004,-1.2702650339249896e-16,
lath,4,61,0.06,"l""aT",3,1,{lath},"{l""aT}",1,NN|VB,700.43,0.21,,lath,0.06,L AE TH,4,6,0.4,1.2679419746021666e-05,0.012496903226352284,-4.313057378094253e-17,
lava,4,2757,3.45,"l""A.v@",4,2,{lava},"{l""A.v@}",1,NN,658.67,0.97,,lava,3.45,L AA V AH,4,2,1.0,0.0,0.00011268240464251507,4.189348649814654e-18,
lawn,4,2663,12.35,"l""On",3,1,{lawn},"{l""On}",1,NN,612.13,0.97,,lawn,12.35,L AO N,4,4,1.0,0.0,0.010728308327900745,-3.562201542207871e-18,
laze,4,38,0.04,"l""ez",3,1,{laze},"{l""ez}",1,VB,662.18,0.67,,laze,0.04,L EY Z,4,12,0.3787878787878788,1.2804062719451463e-05,0.013393182583111077,-9.960478168684993e-17,
lazy,4,6326,11.59,"l""ez.i",4,2,{laze}>y>,"{l""ez}.>i>",2,JJ,531.88,1,,lazy,11.59,L EY Z IY,4,4,0.16666666666666666,3.2485185174502006e-06,0.011731005173664707,-9.646441681403618e-18,
lead,4,48779,83.25,"l""id",3,1,{lead},"{l""id}",1,VB|NN,585.13,0.94,,lead,83.25,L EH D,4,11,0.23636363636363636,4.067488891881081e-05,0.013965227621240611,-1.7559556456969632e-17,
leaf,4,7051,5.2,"l""if",3,1,{leaf},"{l""if}",1,NN|VB,559.38,0.94,,leaf,5.2,L IY F,4,6,0.4,2.4808362849272287e-06,0.012271568387891276,-3.042151975528881e-18,
leak,4,5143,10.14,"l""ik",3,1,{leak},"{l""ik}",1,NN|VB,576.97,1,,leak,10.14,L IY K,4,6,0.4666666666666667,6.595819922751308e-06,0.012561831080139729,-3.841636710838776e-18,
lean,4,4547,10.37,"l""in",3,1,{lean},"{l""in}",1,JJ|VB|NN,556.94,0.94,,lean,10.37,L IY N,4,9,0.3333333333333333,1.7084540341191995e-05,0.013008244728888856,-1.615377903045688e-17,
leap,4,6090,6.67,"l""ip",3,1,{leap},"{l""ip}",1,NN|VB,565.66,0.94,,leap,6.67,L IY P,4,6,0.4666666666666667,2.45576286931771e-06,0.012558397009314104,-1.388013643399611e-17,
leer,4,973,0.51,"l""Ir",3,1,{leer},"{l""Ir}",1,NN|VB,706.2,0.76,,leer,0.51,L IH R,4,6,1.0,0.0,0.011941413116732778,7.563381641889041e-18,
joss,4,126,0.39,"dZ""As",3,1,{joss},"{dZ""As}",1,NN,593.5,0.18,,joss,0.39,JH AA S,4,4,1.0,0.0,0.011865844313591887,-3.2542793037654296e-18,
Jovian,6,355,0.04,"dZovi@n,6,3,NULL,NULL,NULL,JJ|NN,927.11,0.51,,jovian
jowl,4,12,0.08,dZaUl",3,1,{jowl},"{dZ""aUl}",1,NN,722.54,0.38,,jowl,0.08,JH AW L,4,3,1.0,0.0,0.010918268867515388,-3.5241311737330326e-18,
juke,4,189,0.47,"dZ""uk",3,1,NULL,NULL,NULL,NULL,714.91,0.7,,juke,0.47,JH UW K,4,4,0.16666666666666666,2.325524019589983e-06,0.011722025072740748,-1.8141403841347408e-18,
jump,4,26855,69.82,"dZ""Vmp",4,1,{jump},"{dZ""Vmp}",1,NN|VB,626.32,0.97,,jump,69.82,JH AH M P,4,6,1.0,0.0,0.010270202606767491,3.107921885854174e-18,
junk,4,12375,15.37,"dZ""VNk",4,1,{junk},"{dZ""VNk}",1,NN|VB,647.47,0.97,,junk,15.37,JH AH NG K,4,5,1.0,0.0,0.01195073263789568,-1.1297174391959411e-17,
jury,4,7008,42.76,"dZ""U.ri",4,2,{jur--y},"{dZ""U.r--i}",2,NN,570.61,1,,jury,42.76,JH UH R IY,4,3,0.3333333333333333,2.7744366105147814e-06,0.011813968435147485,-3.0323629861585654e-18,
just,4,1020539,4749.14,"dZ""Vst",4,1,{just},"{dZ""Vst}",1,RB|JJ|NN,605.19,1,,just,4749.14,JH AH S T,4,8,0.75,1.437936652625596e-06,0.013195064271167886,6.543914034543353e-18,
kale,4,795,0.55,"k""el",3,1,{kale},"{k""el}",1,NN,764.54,0.41,,kale,0.55,K EY L,4,7,1.0,0.0,0.013741733849856714,-6.966407431895932e-17,
keel,4,639,1.2,"k""il",3,1,{keel},"{k""il}",1,NN|VB,837.29,0.6,,keel,1.2,K IY L,4,6,0.4666666666666667,9.825436767951576e-06,0.012041577001329226,2.681931929559501e-18,
keelhaul,8,3,0.02,"kil%hOl,6,2,NULL,NULL,NULL,VB,1007,0.13,,keelhaul
keen,4,3441,4.47,kin",3,1,{keen},"{k""in}",1,JJ|NN,764.64,0.97,,keen,4.47,K IY N,4,3,0.3333333333333333,6.388879872340406e-06,0.011034978683658658,1.8793607966960175e-19,
keep,4,183906,702.86,"k""ip",3,1,{keep},"{k""ip}",1,VB|NN,582.94,0.97,,keep,702.86,K IY P,4,9,0.4444444444444444,1.2026722341693724e-05,0.012174007224081356,1.0191089246829242e-17,
kelp,4,1913,1.24,"k""Elp",4,1,{kelp},"{k""Elp}",1,NN,757.29,0.52,,kelp,1.24,K EH L P,4,3,0.3333333333333333,2.344940128654122e-06,0.01147031616980549,-1.3581581817637817e-18,
khan,4,4477,3.88,"k""an",3,1,{khan},"{k""an}",1,NN|minor,872,0.53,,khan,3.88,K AA N,4,1,0.0,0.0,0.009880334715576082,-1.606177532452691e-18,
kick,4,19877,73.41,"k""Ik",3,1,{kick},"{k""Ik}",1,NN|VB,614.47,0.94,,kick,73.41,K IH K,4,8,1.0,0.0,0.012720093108146474,-6.843974333354547e-17,
kill,4,70815,452.57,"k""Il",3,1,{kill},"{k""Il}",1,VB|NN,601.44,1,,kill,452.57,K IH L,4,10,0.8,2.6813150170197844e-06,0.013847359837248227,-4.979862962204121e-17,
kilt,4,428,0.61,"k""Ilt",4,1,{kilt},"{k""Ilt}",1,NN,730.59,0.79,,kilt,0.61,K IH L T,4,7,0.7142857142857143,1.4829089768448243e-06,0.013215942537419733,-1.5296001710628553e-17,
kind,4,131849,590.69,"k""aInd",4,1,{kind},"{k""aInd}",1,NN,582.27,1,,kind,590.69,K AY N D,4,7,0.7142857142857143,2.849263368778863e-06,0.013231168277670216,-1.704977836526374e-17,
kinfolk,7,110,0.35,"kIn%fok,6,2,NULL,NULL,NULL,NN,841.59,0.67,,kinfolk
king,4,52583,129.25,kIN",3,1,{king},"{k""IN}",1,NN,558.67,0.97,,king,129.25,K IH NG,4,5,0.6,4.4960953283257823e-07,0.012098661116689753,-9.128069861452972e-18,
kiss,4,12848,121.16,"k""Is",3,1,{kiss},"{k""Is}",1,NN|VB,522.11,1,,kiss,121.16,K IH S,4,3,1.0,0.0,0.010709550357867116,-2.345515836556509e-18,
kite,4,2346,2.29,"k""aIt",3,1,{kite},"{k""aIt}",1,NN,573.06,0.97,,kite,2.29,K AY T,4,4,1.0,0.0,0.01202109544944943,-8.782077631553195e-18,
knee,4,7176,14.69,"n""i",2,1,{knee},"{n""i}",1,NN|VB,580.94,0.94,,knee,14.69,N IY,4,0,0.0,0.0,0.0,-4.584934659470969e-19,
knit,4,1112,1.9,"n""It",3,1,{knit},"{n""It}",1,VB,674.06,0.94,,knit,1.9,N IH T,4,2,0.0,8.101349353383437e-06,0.007302856094121452,-3.583005387753448e-19,
knob,4,2049,2.45,"n""Ab",3,1,{knob},"{n""Ab}",1,NN,669.35,0.97,,knob,2.45,N AA B,4,3,0.3333333333333333,8.666344407014795e-06,0.008947919022218736,-4.259104754452333e-18,
knot,4,2001,3.69,"n""At",3,1,{knot},"{n""At}",1,NN,603.81,0.94,,knot,3.69,N AA T,4,3,0.3333333333333333,1.6190000667028027e-05,0.008125694925280091,7.007201384479758e-19,
know,4,800100,5721.18,"n""o",2,1,{know},"{n""o}",1,VB|NN,549.71,1,,know,5721.18,N OW,4,3,0.3333333333333333,1.607742738117835e-05,0.009095855115349171,4.711998389454663e-19,
jade,4,7028,5.08,"dZ""ed",3,1,{jade},"{dZ""ed}",1,NN|VB,657.53,0.94,,jade,5.08,JH EY D,4,2,1.0,0.0,0.011736999555460141,-1.9913116596372565e-17,
jail,4,9659,70.63,"dZ""el",3,1,{jail},"{dZ""el}",1,NN|VB,567.94,1,,jail,70.63,JH EY L,4,10,1.0,0.0,0.012670974006363534,6.214768039155244e-17,
Java,4,9284,1.53,"dZ""A.v@",4,2,{java},"{dZ""A.v@}",1,NN,760.29,0.94,,java,1.53,JH AA V AH,4,2,1.0,0.0,0.00011268240464251507,-1.1925099690498868e-18,
jazz,4,13759,11.92,"dZ""az",3,1,{jazz},"{dZ""az}",1,NN,599.88,0.97,,jazz,11.92,JH AE Z,4,0,0.0,0.0,0.0,-5.937318121158496e-19,
jeep,4,2639,10.27,"dZ""ip",3,1,{jeep},"{dZ""ip}",1,NN,577.88,0.97,,jeep,10.27,JH IY P,4,7,0.7142857142857143,3.435195218556223e-07,0.011911996955807337,1.4442638663239376e-17,
jeepers,7,113,1.04,"dZip@`z,5,2,NULL,NULL,NULL,minor,700.4,0.88,,jeepers
jeer,4,69,0.06,dZIr",3,1,{jeer},"{dZ""Ir}",1,NN|VB,694.75,0.82,,jeer,0.06,JH IH R,4,7,0.7142857142857143,4.0296885992345703e-07,0.0119522873058595,7.921046868352527e-18,
jerk,4,4772,33.14,"dZ""3`k",3,1,{jerk},"{dZ""3`k}",1,NN|VB,590,0.94,,jerk,33.14,JH AH R K,4,1,0.0,0.0,0.012101848329839566,-1.6038517843993397e-18,
jest,4,2158,1.33,"dZ""Est",4,1,{jest},"{dZ""Est}",1,NN|VB,686.67,0.79,,jest,1.33,JH EH S T,4,10,0.8,2.4674205129504258e-06,0.013668139321651588,1.0023621210624263e-16,
jilt,4,0,0.04,"dZ""Ilt",4,1,{jilt},"{dZ""Ilt}",1,VB,821.48,0.66,,jilt,0.04,JH IH L T,4,7,0.7142857142857143,8.53175403007611e-06,0.0133912305086929,-7.870642731434862e-18,
jinx,4,491,4.0,"dZ""INks",5,1,{jinx},"{dZ""INks}",1,NN|VB,760.75,0.85,,jinx,4.0,JH IH NG K S,4,0,0.0,0.0,0.0,-5.928129400654351e-19,
jive,4,691,1.69,"dZ""aIv",3,1,{jive},"{dZ""aIv}",1,VB|NN|JJ,775.68,0.8,,jive,1.69,JH AY V,4,8,0.75,3.71932013845328e-06,0.01228962446764874,-5.2086312422560407e-17,
John,4,181799,193.67,"dZ""An",3,1,{john},"{dZ""An}",1,NN,607.16,0.97,,john,193.67,JH AA N,4,1,0.0,0.0,0.01023701755099075,1.2690880597984145e-18,
join,4,43729,83.43,"dZ""OIn",3,1,{join},"{dZ""OIn}",1,VB,615.68,1,,join,83.43,JH OY N,4,4,0.16666666666666666,1.3529039070571128e-05,0.011933657945206129,-1.843965408665112e-18,
joke,4,20262,73.02,"dZ""ok",3,1,{joke},"{dZ""ok}",1,NN|VB,578.22,0.94,,joke,73.02,JH OW K,4,5,0.3,1.082037295579774e-05,0.012667480011049496,-5.0005825224473254e-18,
jolt,4,817,1.37,"dZ""olt",4,1,{jolt},"{dZ""olt}",1,NN|VB,636.94,0.91,,jolt,1.37,JH OW L T,4,4,0.5,8.381205764227222e-06,0.013313611436044339,-5.2092992076620444e-18,
iota,4,713,0.45,"aI.""o.4@",4,3,{iota},"{aI.""o.4@}",1,NN,853.58,0.58,,iota,0.45,AY OW T AH,4,0,0.0,0.0,0.0,5.3438821326370356e-20,
hump,4,767,4.41,"h""Vmp",4,1,{hump},"{h""Vmp}",1,NN|VB,714.52,0.94,,hump,4.41,HH AH M P,4,6,1.0,0.0,0.010270202606767491,-9.844907755786805e-19,
hunk,4,936,5.16,"h""VNk",4,1,{hunk},"{h""VNk}",1,NN,613.19,0.94,,hunk,5.16,HH AH NG K,4,7,0.47619047619047616,5.495579362733807e-06,0.012322590198516897,-9.328511979349012e-18,
hunt,4,15346,25.86,"h""Vnt",4,1,{hunt},"{h""Vnt}",1,NN|VB,584.76,1,,hunt,25.86,HH AH N T,4,7,0.2857142857142857,1.092069774238777e-05,0.01318748852018688,-5.214904245107839e-18,
hurl,4,516,1.35,"h""3`l",3,1,{hurl},"{h""3`l}",1,VB,724.38,0.97,,hurl,1.35,HH AH R L,4,6,0.4,6.847436354370104e-06,0.012846369200243566,-8.755221610249349e-18,
hurt,4,28018,246.35,"h""3`t",3,1,{hurt},"{h""3`t}",1,VB,562.66,0.97,,hurt,246.35,HH AH R T,4,3,0.0,4.842474526561912e-06,0.012728904477714324,-1.7226537879968419e-18,
hush,4,517,7.61,"h""VS",3,1,{hush},"{h""VS}",1,NN|JJ|VB,582.53,0.94,,hush,7.61,HH AH SH,4,6,0.6666666666666666,1.426308291625644e-06,0.01161239035896638,-5.590000749838818e-17,
hymn,4,2288,1.63,"h""Im",3,1,{hymn},"{h""Im}",1,NN,717.55,0.91,,hymn,1.63,HH IH M,4,0,0.0,0.0,0.0,3.2717861560439166e-19,
idea,4,133710,359.04,"aI.d""i@",4,2,{idea},"{aI.d""i@}",1,NN|minor,536.18,1,,idea,359.04,AY D IY AH,4,0,0.0,0.0,0.0,-4.5280559112479645e-20,
hive,4,3722,0.98,"h""aIv",3,1,{hive},"{h""aIv}",1,NN,614.52,0.88,,hive,0.98,HH AY V,4,11,0.43636363636363634,8.412384618278209e-06,0.013043332271456841,-7.162814882359914e-17,
hoax,4,2246,2.41,"h""oks",4,1,{hoax},"{h""oks}",1,NN|VB,672.08,0.81,,hoax,2.41,HH OW K S,4,1,0.0,0.0,0.010401588647134835,3.237627329929514e-18,
hobo,4,178,1.78,"h""o.bo",4,2,{hobo},"{h""o.bo}",1,NN,934.19,0.64,,hobo,1.78,HH OW B OW,4,2,0.0,9.418936996614649e-08,0.010160038982654206,1.3616806966416265e-18,
hock,4,561,2.16,"h""Ak",3,1,{hock},"{h""Ak}",1,NN|VB,668.9,0.64,,hock,2.16,HH AA K,4,10,0.4,2.573250755906092e-05,0.01380159719395253,-4.390164335166421e-17,
hold,4,71050,436.73,"h""old",4,1,{hold},"{h""old}",1,VB|NN,613.18,1,,hold,436.73,HH OW L D,4,8,0.39285714285714285,2.0422970846590754e-05,0.014220280532447296,-1.8588668271392557e-17,
hole,4,25790,58.22,"h""ol",3,1,{hole},"{h""ol}",1,NN|VB,562.31,0.94,,hole,58.22,HH OW L,4,10,0.3111111111111111,2.3048194237370125e-05,0.014119752961447978,-8.640711907281208e-18,
holy,4,27262,68.14,"h""o.li",4,2,{holy},"{h""o.li}",1,JJ|NN,608.36,0.97,,holy,68.14,HH OW L IY,4,2,1.0,0.0,0.01268321818334373,1.3894910361338893e-18,
home,4,190434,774.33,"h""om",3,1,{home},"{h""om}",1,NN|VB|RB,569.47,0.97,,home,774.33,HH OW M,4,8,0.32142857142857145,1.725859054960876e-05,0.013426455139579423,-1.0620231753481571e-17,
hood,4,7563,15.39,"h""Ud",3,1,{hood},"{h""Ud}",1,NN,604.48,0.97,,hood,15.39,HH UH D,4,9,0.3333333333333333,1.536744363477698e-05,0.013874544324998789,-3.94269393014797e-17,
hoof,4,429,1.73,"h""uf",3,1,{hoof},"{h""uf}",1,NN,783.12,0.78,,hoof,1.73,HH UH F,4,6,0.4666666666666667,5.9545610493872535e-06,0.012934989795880893,-2.6049605371131032e-17,
hook,4,11610,38.0,"h""Uk",3,1,{hook},"{h""Uk}",1,NN|VB,567.44,1,,hook,38.0,HH UH K,4,9,0.3333333333333333,2.2998248926153123e-05,0.013682387568152194,-4.5058071857481545e-17,
hoop,4,1279,2.69,"h""up",3,1,{hoop},"{h""up}",1,NN,613.47,1,,hoop,2.69,HH UW P,4,6,0.4666666666666667,7.2280835970653105e-06,0.013338738751472415,-3.562292219552884e-17,
hoot,4,963,2.61,"h""ut",3,1,{hoot},"{h""ut}",1,NN|VB,709.38,0.79,,hoot,2.61,HH UW T,4,12,0.4090909090909091,4.284024291067708e-05,0.014537536791161706,-9.09420589261143e-17,
hope,4,150675,320.63,"h""op",3,1,{hope},"{h""op}",1,NN|VB,536.61,0.97,,hope,320.63,HH OW P,4,8,0.4642857142857143,2.974949664940599e-06,0.013453980453967198,-1.1501751826154322e-17,
