Item,Frequency,Pronunciation
ocarina,0.06,AA K AH R IY N AH
occasion,16.55,AH K EY ZH IH N
occasional,3.9,AH K EY ZH IH N AH L
occidental,0.14,AA K S AH D EH N T AH L
occipital,0.71,AA K S IH P IH T AH L
occlude,0.04,AH K L UW D
occlusion,0.14,AH K L UW ZH AH N
occupancy,0.27,AA K Y UW P AH N S IY
occupant,0.8,AA K Y AH P AH N T
occupation,4.12,AA K Y UW P EY SH IH N
occupational,1.49,AA K Y AH P EY SH AH N AH L
occupy,2.47,AA K Y UW P AY
occur,7.43,AH K AH R
occurrence,1.18,AH K AH R AH N S
ocean,30.29,OW SH IH N
oceanographic,0.24,OW SH AH AH N AH G R AE F IH K
oceanography,0.14,OW SH IY AH N AA G R AH F IY
ocelot,0.04,AA S AH L AA T
och,0.35,AA K
octagonal,0.12,AA K T AE G IH N AH L
octave,0.27,AA K T IH V
octet,0.02,AA K T EH T
octillion,0.02,AA K T IH L Y AH N
octopus,1.94,AA K T AH P UH S
octoroon,0.02,AA K T AH R UW N
ocular,0.41,AA K Y UH L AH R
odd,24.04,AA D
oddity,0.12,AA D IH T IY
odds,19.02,AA D Z
odious,0.49,OW D IY AH S
odor,2.33,OW D AH R
odyssey,0.88,AA D IH S IY
oedipal,0.41,EH D AH P AH L
of,11577.24,AH V
off,1179.51,AO F
offal,0.18,AO F AH L
offend,5.22,AH F EH N D
offender,2.75,AH F EH N D AH R
offense,16.47,AH F EH N S
offensive,6.41,AH F EH N S IH V
offer,74.71,AO F AH R
offering,15.24,AO F AH R IH NG
offhand,0.9,AO F HH AE N D
office,203.9,AO F AH S
officer,103.24,AO F AH S AH R
official,24,AH F IH SH AH L
officialdom,0.02,AH F IH SH AH L D AH M
officiate,0.22,AH F IH SH IY EY T
officious,0.16,AH F IH SH IH S
offing,0.31,AO F IH NG
offset,0.57,AO F S EH T
offshore,2.25,AO F SH OW R
offspring,2.55,AO F S P R IH NG
offstage,0.43,AO F S T EY JH
ogle,0.37,OW G AH L
ogress,0.02,OW G R AH S
oh,3289.82,OW
oil,41.08,OY L
oilcloth,0.02,OY L K L AO TH
oily,0.96,OY L IY
ointment,1.63,OY N T M AH N T
ok,508.39,OW K EY
old,608.94,OW L D
olden,1.06,OW L D IH N
older,41.86,OW L D AH R
oldest,9.37,OW L D IH S T
oldie,0.45,OW L D IY
oleander,0.08,OW L IY AE N D AH R
oleomargarine,0.02,OW L IY OW M AA R JH AH R AH N
olive,7.35,AA L IH V
omelet,2.37,AA M AH L IH T
omen,1.71,OW M AH N
ominous,1.33,AA M AH N IH S
omission,0.39,OW M IH SH AH N
omit,0.27,OW M IH T
omnipotence,0.18,AA M N IH P AH T AH N S
omniscient,0.33,AA M N IH SH IH N T
on,6955.73,AO N
once,344.88,W AH N S
oncoming,0.43,AO N K AH M IH NG
one,3072.24,W AH N
oneness,0.41,W AH N IH S
oneself,2.14,W AH N S EH L F
onion,4.24,AH N Y AH N
onlooker,0.04,AO N L UH K AH R
only,1083.71,OW N L IY
onrushing,0.04,AA N R AH SH IH NG
onset,0.84,AA N S EH T
onslaught,0.33,AA N S L AO T
onto,36.69,AO N T UW
ontological,0.06,AA N T AH L AA JH IH K AH L
onus,0.1,OW N IH S
ooze,0.53,UW Z
opaque,0.12,OW P EY K
open,320.41,OW P AH N
opener,3.39,OW P AH N AH R
opening,38.43,OW P AH N IH NG
openly,2.12,OW P AH N L IY
opera,17.12,AA P AH R AH
operable,0.24,AA P AH R AH B AH L
operate,13.37,AA P AH R EY T
operatic,0.27,AA P AH R AE T IH K
operation,43.94,AA P AH R EY SH IH N
operational,3.82,AA P AH R EY SH AH N AH L
operative,3.25,AA P AH R IH T IH V
operator,16.39,AA P AH R EY T AH R
operetta,0.14,AA P AH R EH T AH
ophthalmic,0.02,AA F TH AE L M IH K
opiate,0.39,OW P IY AH T
opinion,42,AH P IH N Y AH N
opinionated,0.53,AH P IH N Y AH N EY T IH D
opium,2.24,OW P IY AH M
opponent,4.71,AH P OW N IH N T
opportune,0.27,AA P AH R T UW N
opportunism,0.02,AA P AH R T UW N IH Z AH M
opportunistic,0.27,AA P AH R T UW N IH S T IH K
opportunity,41,AA P AH R T UW N IH T IY
oppose,2.16,AH P OW Z
opposite,15.2,AA P AH Z IH T
opposition,3.04,AA P AH Z IH SH IH N
oppress,0.22,AH P R EH S
oppression,1.49,AH P R EH SH IH N
oppressive,0.92,AH P R EH S IH V
oppressor,0.51,AH P R EH S AH R
opt,0.39,AA P T
optical,1.1,AA P T IH K AH L
optics,0.71,AA P T IH K S
optimal,0.29,AA P T AH M AH L
optimism,1.55,AA P T AH M IH Z AH M
optimistic,3.39,AA P T AH M IH S T IH K
optimization,0.02,AA P T AH M AH Z EY SH AH N
optimize,0.1,AA P T AH M AY Z
optimum,0.65,AA P T AH M AH M
option,14.43,AA P SH IH N
optional,1.14,AA P SH AH N AH L
opulent,0.14,AA P Y UH L AH N T
opus,0.9,OW P AH S
or,1705.29,OW R
oracle,2.24,AO R AH K AH L
oral,4.31,OW R AH L
orange,22.31,AO R IH N JH
orate,0.04,AO R EY T
oration,0.08,OW R EY SH IH N
orator,0.16,AO R AH T AH R
oratorio,0.04,AO R AH T OW R IY OW
oratory,0.18,AO R AH T OW R IY
orb,2.75,AO R B
orbit,5.65,AO R B AH T
orbital,1.25,AO R B IH T AH L
orchard,1.92,AO R CH AH R D
orchestra,5.51,AO R K IH S T R AH
orchestral,0.2,AO R K EH S T R AH L
orchestration,0.12,AO R K IH S T R EY SH IH N
orchid,2.16,AO R K IH D
ordain,0.18,AO R D EY N
ordeal,2.37,AO R D IY L
order,156.57,AO R D AH R
ordering,7.24,AO R D AH R IH NG
orderliness,0.04,AO R D AH R L IY N AH S
orderly,4.37,AO R D AH R L IY
ordinance,1.69,AO R D IH N IH N S
ordinary,19.08,AO R D AH N EH R IY
ordnance,0.92,AO R D AH N IH N S
ore,1.65,OW R
organ,7.25,AO R G IH N
organdy,0.1,AO R G AH N D IY
organic,4.31,AO R G AE N IH K
organism,2.04,AO R G IH N IH Z AH M
organismic,0.02,AO R G AH N IH Z M IH K
organist,0.39,AO R G IH N IH S T
organization,13.1,AO R G IH N IH Z EY SH IH N
organizational,0.35,AO R G AH N AH Z EY SH AH N AH L
organize,4.31,AO R G IH N AY Z
organizer,0.43,AO R G AH N AY Z AH R
orgasm,4.18,AO R G AE Z AH M
orgiastic,0.08,AO R JH IY AE S T IH K
orgy,1.71,AO R JH IY
orient,1.59,OW R IY AH N T
oriental,2.61,OW R IY EH N T AH L
orientation,2.43,OW R IY AH N T EY SH IH N
orifice,0.59,AO R AH F AH S
origin,4.45,AO R IH JH IH N
original,28.24,OW R IH JH IH N AH L
originality,0.59,AH R IH JH AH N AE L IH T IY
originate,0.29,AH R IH JH IH N EY T
origination,0.08,AH R IH JH AH N EY SH AH N
oriole,0.1,OW R IY OW L
ornament,1.14,AO R N AH M AH N T
ornamentation,0.06,AO R N AH M AH N T EY SH IH N
ornate,0.2,AO R N EY T
ornery,1.18,AO R N AH R IY
orphan,5.75,AO R F AH N
orphanage,5.35,AO R F AH N IH JH
orthodontic,0.06,AO R TH AH D AA N T IH K
orthodontics,0.04,AO R TH AH D AA N T IH K S
orthodontist,0.49,AO R TH AH D AA N T IH S T
orthodox,1.04,AO R TH AH D AA K S
orthodoxy,0.08,AO R TH AH D AA K S IY
orthographic,0.02,AO R TH AH G R AE F IH K
orthography,0.02,AO R TH AA G R AH F IY
orthopedic,0.51,AO R TH AH P IY D IH K
os,1.63,AA S
oscillate,0.06,AA S AH L EY T
oscillation,0.1,AA S AH L EY SH IH N
oscillator,0.35,AA S AH L EY T AH R
osmium,0.02,AA Z M IY AH M
osmotic,0.06,AA Z M AA T AH K
osseous,0.04,AA S IY AH S
ossification,0.02,AA S AH F AH K EY SH IH N
ostensible,0.06,AA S T EH N S AH B AH L
ostentatious,0.49,AA S T AH N T EY SH AH S
osteoporosis,0.18,AO S T IY AA P AH R OW S IH S
ostinato,0.04,AA S T AH N AA T OW
ostracism,0.06,AA S T R AH S IH Z AH M
ostracize,0.02,AA S T R IH S AY Z
other,735.39,AH DH AH R
otherworldly,0.24,AH DH AH R W AH R L D L IY
otter,1.35,AA T AH R
ought,80.75,AO T
ounce,4.04,AW N S
ourselves,52.47,AW R S EH L V Z
oust,0.06,AW S T
ouster,0.06,AW S T AH R
out,3865.31,AW T
outback,0.92,AW T B AE K
outboard,0.55,AW T B OW R D
outbreak,1.94,AW T B R EY K
outburst,1.45,AW T B AH R S T
outcast,1.31,AW T K AE S T
outclass,0.02,AW T K L AE S
outcome,3.94,AW T K AH M
outcry,0.24,AW T K R AY
outdistance,0.02,AW T D IH S T AH N S
outdo,0.51,AW T D UW
outdoor,1.82,AW T D OW R
outdoors,2.1,AW T D OW R Z
outer,9.08,AW T AH R
outfield,0.24,AW T F IY L D
outfielder,0.1,AW T F IY L D AH R
outfight,0.06,AW T F AY T
outfit,25.1,AW T F IH T
outflow,0.14,AW T F L OW
outfox,0.04,AW T F AA K S
outgoing,1.76,AW T G OW IH NG
outgrow,0.41,AW T G R OW
outgrowth,0.04,AW T G R OW TH
outhouse,0.75,AW T HH AW S
outing,1,AW T IH NG
outlandish,0.33,AW T L AE N D IH SH
outlaw,2.92,AW T L AO
outlawry,0.04,AW T L AO R IY
outlay,0.12,AW T L EY
outlet,2,AW T L EH T
outline,2.04,AW T L AY N
outlive,1.12,AW T L IH V
outlook,2.02,AW T L UH K
outlying,0.33,AW T L AY IH NG
outmaneuver,0.08,AW T M AH N UW V AH R
outmoded,0.16,AW T M OW D IH D
outnumber,0.76,AW T N AH M B AH R
outpatient,0.61,AW T P EY SH IH N T
outplay,0.04,AW T P L EY
outpost,1.31,AW T P OW S T
outpouring,0.25,AW T P AO R IH NG
output,1.39,AW T P UH T
outrage,3.14,AW T R EY JH
outraged,1.29,AW T R EY JH D
outrageous,6.33,AW T R EY JH IH S
outreach,0.47,AW T R IY CH
outrigger,0.31,AW T R IH G AH R
outright,1.24,AW T R AY T
outrun,1.94,AW T R AH N
outset,0.31,AW T S EH T
outside,170.02,AW T S AY D
outsider,2.37,AW T S AY D AH R
outsized,0.06,AW T S AY Z D
outsmart,0.76,AW T S M AA R T
outspoken,0.49,AW T S P OW K AH N
outstanding,7.45,AW T S T AE N D IH NG
outstandingly,0.04,AW T S T AE N D IH NG L IY
outstrip,0.08,AW T S T R IH P
outward,1.35,AW T W AH R D
outweigh,0.47,AW T W EY
outwit,0.59,AW T W IH T
outworn,0.14,AW T W OW R N
ova,0.27,OW V AH
oval,1.35,OW V AH L
ovation,0.88,OW V EY SH IH N
oven,8.88,AH V AH N
over,1323.29,OW V AH R
overactive,0.39,OW V AH R AE K T IH V
overage,0.1,OW V AH R EY JH
overall,3.22,OW V AH R AO L
overbearing,0.96,OW V AH R B AE R IH NG
overblown,0.24,OW V AH R B L OW N
overburden,0.02,OW V AH R B AH R D AH N
overcast,0.47,OW V AH R K AE S T
overcoat,1.45,OW V AH R K OW T
overcome,6.2,OW V AH R K AH M
overconfident,0.25,OW V AH R K AA N F IH D AH N T
overcook,0.14,OW V AH R K UH K
overcrowd,0.02,OW V AH R K R AW D
overcrowding,0.12,OW V AH R K R AW D IH NG
overdo,1.61,OW V AH R D UW
overdrive,0.57,OW V AH R D R AY V
overdue,2.9,OW V AH R D UW
overeager,0.2,OW V AH R IY G AH R
overeat,0.1,OW V AH R IY T
overestimate,0.45,OW V AH R EH S T AH M EY T
overestimation,0.02,OW V AH R EH S T AH M EY SH AH N
overexcite,0.02,OW V AH R EH K S AY T
overexpose,0.02,OW V AH R IH K S P OW Z
overfeed,0.1,OW V AH R F IY D
overfill,0.02,OW V AH R F IH L
overflow,0.96,OW V AH R F L OW
overgrown,0.96,OW V AH R G R OW N
overhand,0.25,OW V AH R HH AE N D
overhang,0.18,OW V AH R HH AE NG
overhaul,0.47,OW V AH R HH AO L
overhauling,0.04,OW V AH R HH AO L IH NG
overhead,3.67,OW V AH R HH EH D
overhear,1.04,OW V AH R HH IH R
overheat,0.35,OW V AH R HH IY T
overheating,0.37,OW V AH R HH IY T IH NG
overlap,0.57,OW V AH R L AE P
overlay,0.61,OW V AH R L EY
overload,1.78,OW V AH R L OW D
overlook,2.9,OW V AH R L UH K
overly,2.22,OW V AH R L IY
overnight,10.02,OW V AH R N AY T
overnighter,0.06,OW V AH R N AY T AH R
overpay,0.04,OW V AH R P EY
overpayment,0.04,OW V AH R P EY M AH N T
overplay,0.14,OW V AH R P L EY
overpopulate,0.04,OW V AH R P AA P Y AH L EY T
overpopulation,0.02,OW V AH R P AA P Y AH L EY SH AH N
overpower,0.59,OW V AH R P AW AH R
overpressure,0.02,OW V AH R P R EH SH AH R
overprice,0.02,OW V AH R P R AY S
overprotective,0.61,OW V AH R P R AH T EH K T AH V
overrate,0.04,OW V AH R R EY T
overreach,0.06,OW V AH R R IY CH
override,5.16,OW V AH R R AY D
overriding,0.39,OW V AH R R AY D IH NG
overrun,1.67,OW V AH R R AH N
overseas,4.57,OW V AH R S IY Z
overseer,0.41,OW V AH R S IH R
overshadow,0.14,OW V AH R SH AE D OW
overshoot,0.14,OW V AH R SH UW T
oversight,1.45,OW V AH R S AY T
oversimplification,0.04,OW V AH R S IH M P L IH F IH K EY SH AH N
oversimplify,0.06,OW V AH R S IH M P L IH F AY
oversized,0.92,OW V AH R S AY Z D
overstep,0.27,OW V AH R S T EH P
overt,0.27,OW V AH R T
overtake,0.73,OW V AH R T EY K
overtax,0.04,OW V AH R T AE K S
overthrow,1.35,OW V AH R TH R OW
overtime,6.24,OW V AH R T AY M
overtone,0.06,OW V AH R T OW N
overture,1.29,OW V AH R CH UH R
overturn,0.37,OW V AH R T AH R N
overweight,1.82,OW V AH R W EY T
overwhelm,0.69,OW V AH R HH W EH L M
overwhelming,4.92,OW V AH R HH W EH L M IH NG
overwhelmingly,0.29,OW V AH R HH W EH L M IH NG L IY
overwork,0.35,OW V AH R W AH R K
overwrite,0.1,OW V AH R R AY T
owe,74.16,OW
owl,5.61,AW L
own,459.2,OW N
owner,23.24,OW N AH R
ownership,2.27,OW N AH R SH IH P
owning,2.08,OW N IH NG
ox,7.78,AA K S
oxalate,0.06,AA K S AH L EY T
oxcart,0.02,AA K S K AA R T
oxidation,0.25,AA K S AH D EY SH IH N
oxide,1.2,AA K S AY D
oxygen,13.88,AA K S IH JH IH N
oyster,3.06,OY S T AH R
ozone,2.14,OW Z OW N
pa,23.88,P AA
pace,9.57,P EY S
pacemaker,0.75,P EY S M EY K AH R
pacer,0.25,P EY S AH R
pachinko,0.22,P AH CH IH NG K OW
pacifier,0.39,P AE S AH F AY AH R
pacifism,0.14,P AE S AH F IH Z AH M
pacifist,0.69,P AE S AH F IH S T
pacifistic,0.04,P AE S AH F IH S T IH K
pacify,0.39,P AE S AH F AY
pacing,1.25,P EY S IH NG
pack,43.82,P AE K
package,22.78,P AE K IH JH
packet,2.51,P AE K IH T
packing,13.69,P AE K IH NG
pact,3.76,P AE K T
pad,8.14,P AE D
padding,0.96,P AE D IH NG
paddle,3.75,P AE D AH L
paddock,0.33,P AE D AH K
paddy,2.63,P AE D IY
padlock,0.69,P AE D L AA K
paean,0.06,P IY AA N
pagan,1.35,P EY G IH N
paganism,0.02,P EY G AH N IH Z AH M
page,37.49,P EY JH
pageant,4.78,P AE JH IH N T
pageantry,0.2,P AE JH AH N T R IY
paginate,0.1,P AE JH AH N EY T
paging,2.04,P EY JH IH NG
pagoda,1.1,P AH G OW D AH
pail,0.94,P EY L
pain,97.94,P EY N
painful,15.16,P EY N F AH L
painfully,1.78,P EY N F AH L L IY
painless,1.94,P EY N L IH S
pains,5.27,P EY N Z
painstaking,0.24,P EY N S T EY K IH NG
paint,36.8,P EY N T
paintbrush,0.53,P EY N T B R AH SH
painter,6.75,P EY N T AH R
painting,29.2,P EY N T IH NG
pair,37.25,P AE R
pajama,1.27,P AH JH AE M AH
pal,57.59,P AE L
palace,19.2,P AE L AH S
palatable,0.25,P AE L IH T AH B AH L
palate,0.98,P AE L IH T
palazzo,0.24,P AA L AA T S AO
pale,8.02,P EY L
paleness,0.02,P AE L N AH S
palest,0.04,P EY L AH S T
palette,0.57,P AE L IH T
palindrome,0.16,P AE L IH N D R OW M
pall,0.45,P AO L
palladium,0.35,P AH L EY D IY AH M
pallet,0.41,P AE L AH T
palliative,0.06,P AE L IY EY T IH V
pallid,0.16,P AE L AH D
pallor,0.14,P AE L AH R
palm,13.24,P AA M
palpable,0.41,P AE L P AH B AH L
palsy,0.53,P AO L Z IY
pamper,0.51,P AE M P AH R
pamphlet,1.18,P AE M F L IH T
pan,12.29,P AE N
panacea,0.08,P AE N IH S IY AH
pandemic,0.1,P AE N D EH M IH K
pander,0.12,P AE N D AH R
pane,0.47,P EY N
panel,7.29,P AE N AH L
paneling,0.18,P AE N AH L IH NG
pang,1.59,P AE NG
panic,21.84,P AE N IH K
panicky,1.1,P AE N IH K IY
panjandrum,0.04,P AE N JH AE N D R AH M
panorama,0.14,P AE N AH R AE M AH
panoramic,0.04,P AE N AH R AE M IH K
pansy,1.94,P AE N Z IY
pant,0.96,P AE N T
pantheon,0.41,P AE N TH IY AA N
panther,2.57,P AE N TH AH R
pantomime,0.33,P AE N T AH M AY M
pantry,1.75,P AE N T R IY
panty,1.04,P AE N T IY
pap,1.29,P AE P
papal,0.53,P EY P AH L
paper,103.35,P EY P AH R
paperback,0.45,P EY P AH R B AE K
paperweight,0.41,P EY P AH R W EY T
papery,0.08,P EY P AH R IY
papillary,0.04,P AE P AH L EH R IY
paprika,0.8,P AE P R IY K AH
par,4.96,P AA R
parable,0.18,P AE R AH B AH L
parachute,3.18,P AE R AH SH UW T
parade,12.88,P AH R EY D
paradigm,0.73,P AE R AH D AY M
paradigmatic,0.02,P AE R AH D IH G M AE T IH K
paradise,13.25,P AE R AH D AY S
paradox,1.27,P AE R AH D AA K S
paradoxical,0.14,P AE R AH D AA K S IH K AH L
paragon,0.29,P AE R AH G AA N
paragraph,2.82,P AE R AH G R AE F
parakeet,1.08,P EH R AH K IY T
parallel,4.39,P AE R AH L EH L
parallelism,0.02,P AE R AH L EH L IH Z AH M
paralysis,1.96,P AH R AE L IH S IH S
paralyze,0.47,P AE R AH L AY Z
parameter,0.25,P AH R AE M AH T AH R
paramilitary,0.39,P AE R AH M IH L IH T EH R IY
paramount,2.27,P AE R AH M AW N T
paranoiac,0.25,P AE R AH N OY AE K
paranoid,10.65,P AE R AH N OY D
paranormal,1.31,P EH R AH N AO R M AH L
parapet,0.2,P AE R AH P AH T
paraphernalia,0.61,P AE R AH F AH R N EY L Y AH
paraphrase,0.24,P AE R AH F R EY Z
parapsychology,0.22,P AE R AH S AY K AA L AH JH IY
parasite,2.47,P AE R IH S AY T
parasitic,0.47,P AE R IH S IH T IH K
parasol,0.51,P AE R IH S AO L
paratrooper,0.31,P AE R AH T R UW P AH R
paratroops,0.18,P EH R AH T R UW P S
parboil,0.02,P AA R B OY L
parcel,1.39,P AA R S AH L
parch,0.04,P AA R CH
parchment,0.76,P AA R CH M AH N T
pardon,64.65,P AA R D AH N
pardonable,0.06,P AA R D AH N AH B AH L
pare,0.12,P AE R
parent,13.14,P AE R AH N T
parentage,0.16,P AE R AH N T IH JH
parental,2.06,P AH R EH N T AH L
parenthesis,0.06,P AH R EH N TH IH S IH S
parenthood,0.78,P AE R AH N T HH UH D
pariah,0.39,P AH R AY AH
paring,0.12,P AE R IH NG
parish,3.02,P AE R IH SH
parishioner,0.16,P AH R IH SH IH N AH R
park,72.12,P AA R K
parking,27.04,P AE R K IH NG
parkway,1.04,P AA R K W EY
parlance,0.29,P AA R L AH N S
parlay,0.67,P AA R L EY
parley,0.41,P AA R L IY
parliament,2.24,P AA R L AH M AH N T
parliamentary,0.24,P AA R L AH M EH N T AH R IY
parlor,5.94,P AA R L AH R
parochial,0.33,P AH R OW K IY AH L
parody,0.71,P AE R AH D IY
parole,10.45,P AH R OW L
parolee,0.16,P AH R OW L IY
parquet,0.08,P AA R K EY
parrot,3.27,P AE R AH T
parry,1.51,P AE R IY
parsimonious,0.02,P AA R S AH M OW N IY AH S
parsley,0.84,P AA R S L IY
parson,1.53,P AA R S AH N
parsonage,0.1,P AA R S AH N IH JH
part,261.51,P AA R T
partake,0.96,P AA R T EY K
partaker,0.02,P AA R T EY K AH R
parti,0.02,P AA R T IY
partial,4.84,P AA R SH AH L
partially,2.14,P AA R SH AH L IY
participant,0.59,P AA R T IH S AH P AH N T
participate,4.39,P AA R T IH S AH P EY T
participation,1.98,P AA R T IH S AH P EY SH AH N
particle,1.78,P AA R T IH K AH L
particular,27.9,P AH R T IH K Y UH L AH R
particularly,18.55,P AH R T IH K Y AH L AH R L IY
particulate,0.1,P AH R T IH K Y AH L IH T
parting,2.27,P AA R T IH NG
partisan,0.18,P AA R T IH Z AH N
partition,0.49,P AH R T IH SH IH N
partly,3.43,P AA R T L IY
partner,75.22,P AA R T N AH R
partnership,5.29,P AA R T N AH R SH IH P
party,233.14,P AA R T IY
pas,2.33,P AA
paso,2.57,P AE S OW
pass,108.12,P AE S
passable,0.27,P AE S AH B AH L
passage,7.65,P AE S IH JH
passageway,1.18,P AE S IH JH W EY
passenger,10.76,P AE S AH N JH AH R
passerby,0.16,P AE S AH R B AY
passing,25.98,P AE S IH NG
passion,19.76,P AE SH IH N
passionate,6,P AE SH IH N IH T
passive,2.18,P AE S IH V
passivity,0.06,P AE S IH V AH T IY
passport,10.47,P AE S P OW R T
past,123.76,P AE S T
paste,1.71,P EY S T
pastel,0.27,P AE S T EH L
pastime,0.8,P AE S T AY M
pastor,4.29,P AE S T AH R
pastoral,0.14,P AE S T AH R AH L
pastry,1.92,P EY S T R IY
pasture,1.53,P AE S CH AH R
pasty,0.61,P AE S T IY
pat,18.29,P AE T
patch,17.41,P AE CH
patchwork,0.1,P AE CH W AH R K
pate,0.65,P EY T
patent,2.47,P AE T AH N T
patenting,0.06,P AE T AH N T IH NG
pater,0.2,P EY T AH R
path,24.55,P AE TH
pathetic,24.2,P AH TH EH T IH K
pathless,0.04,P AE TH L IH S
pathogenic,0.02,P AE TH AH JH EH N IH K
pathologic,0.02,P AE TH AH L AA JH IH K
pathological,1.47,P AE TH AH L AA JH IH K AH L
pathologist,0.8,P AH TH AA L AH JH IH S T
pathology,1.43,P AH TH AA L AH JH IY
pathos,0.24,P EY TH AA S
pathway,1.14,P AE TH W EY
patience,15.37,P EY SH IH N S
patient,63.65,P EY SH EH N T
patina,0.12,P AE T IH N AH
patio,2.61,P AE T IY OW
patriarch,0.31,P EY T R IY AA R K
patriarchal,0.27,P EY T R IY AA R K AH L
patriarchy,0.06,P EY T R IY AA R K IY
patrician,0.1,P AH T R IH SH IH N
patrimony,0.02,P AE T R AH M OW N IY
patriot,2.61,P EY T R IY IH T
patriotic,2.35,P EY T R IY AA T IH K
patriotism,1.65,P EY T R IY AH T IH Z AH M
patrol,15.53,P AH T R OW L
patrolman,1.22,P AH T R OW L M AE N
patron,3.1,P EY T R AH N
patronage,0.37,P AE T R AH N IH JH
patroness,0.08,P EY T R AH N AH S
patronize,1.57,P EY T R AH N AY Z
patsy,3.69,P AE T S IY
patter,0.71,P AE T AH R
pattern,14.47,P AE T AH R N
patty,11.06,P AE T IY
paucity,0.08,P AO S IH T IY
paunch,0.02,P AO N CH
paunchy,0.08,P AO N CH IY
pauper,0.49,P AO P AH R
pause,5.39,P AO Z
pave,0.39,P EY V
pavement,2.02,P EY V M AH N T
pavilion,0.96,P AH V IH L Y AH N
paw,3.12,P AO
pawn,4.33,P AO N
pawnshop,0.8,P AO N SH AA P
pax,0.84,P AE K S
pay,254.61,P EY
payable,0.75,P EY AH B AH L
paycheck,4.27,P EY CH EH K
payday,2.51,P EY D EY
paymaster,0.18,P EY M AE S T AH R
payment,10.55,P EY M AH N T
payoff,2.22,P EY AO F
payroll,5.04,P EY R OW L
pea,3.9,P IY
peace,69.61,P IY S
peaceable,0.14,P IY S AH B AH L
peaceful,11.24,P IY S F AH L
peacemaking,0.04,P IY S M EY K IH NG
peacetime,0.43,P IY S T AY M
peach,6.35,P IY CH
peacock,5.12,P IY K AA K
peak,5.94,P IY K
peaked,1.22,P IY K T
peal,0.14,P IY L
peanut,12.35,P IY N AH T
pear,1.33,P AE R
pearl,15.67,P AH R L
pearly,1,P AH R L IY
peasant,4.02,P EH Z AH N T
pebble,1.27,P EH B AH L
pecan,0.94,P IH K AA N
peccadillo,0.1,P EH K AA D IH L OW
peck,3.53,P EH K
pectoral,0.22,P EH K T AH R AH L
pectoralis,0.04,P EH K T AH R AE L IH S
peculiar,7.55,P AH K Y UW L Y AH R
peculiarity,0.1,P IH K Y UH L IY AE R IH T IY
peculiarly,0.14,P IH K Y UW L Y AH R L IY
pedagogue,0.1,P EH D AH G AA G
pedal,2.04,P EH D AH L
pedantic,0.31,P AH D AE N T IH K
peddle,1.06,P EH D AH L
peddler,0.59,P EH D L AH R
pedestal,1.31,P EH D IH S T AH L
pedestrian,1.39,P AH D EH S T R IY AH N
pedigree,0.76,P EH D AH G R IY
pedigreed,0.12,P EH D AH G R IY D
pee,18.14,P IY
peek,5.33,P IY K
peel,5.35,P IY L
peep,4.43,P IY P
peer,1.53,P IH R
peerless,0.35,P IH R L IH S
peg,36.41,P EH G
pegboard,0.02,P EH G B OW R D
pellagra,0.06,P AH L AE G R AH
pellet,1.31,P EH L IH T
pelt,0.94,P EH L T
pelvic,1.53,P EH L V IH K
pelvis,2.02,P EH L V AH S
pen,24.73,P EH N
penal,1.29,P IY N AH L
penalize,0.24,P IY N AH L AY Z
penalty,9.1,P EH N AH L T IY
penance,1.43,P EH N IH N S
penchant,0.53,P EH N CH IH N T
pencil,9.86,P EH N S AH L
pendant,0.9,P EH N D IH N T
pending,3.41,P EH N D IH NG
pendulum,0.53,P EH N JH AH L AH M
penetrate,2.86,P EH N IH T R EY T
penetrating,1.16,P EH N IH T R EY T IH NG
penetration,1.41,P EH N IH T R EY SH IH N
penicillin,2.45,P EH N IH S IH L IH N
peninsula,1.37,P AH N IH N S AH L AH
pennant,0.75,P EH N IH N T
penniless,1.24,P EH N IY L AH S
penny,24.29,P EH N IY
pension,4.84,P EH N CH IH N
pensive,0.37,P EH N S IH V
pentagon,5.84,P EH N T IH G AA N
penthouse,4.53,P EH N T HH AW S
penultimate,0.2,P IH N AH L T AH M AH T
penurious,0.02,P AH N UH R IY AH S
penury,0.02,P EH N Y AH R IY
peony,0.04,P IY AH N IY
people,1102.98,P IY P AH L
pep,3.49,P EH P
pepper,8.8,P EH P AH R
peppermint,1.39,P EH P AH R M IH N T
pepperoni,2.57,P EH P AH R OW N IY
peppery,0.02,P EH P AH R IY
peptide,0.43,P EH P T AY D
per,22.37,P AH R
perceive,1.45,P AH R S IY V
percent,25.75,P AH R S EH N T
percentage,3.76,P AH R S EH N T IH JH
perceptible,0.08,P AH R S EH P T AH B AH L
perception,3.53,P AH R S EH P SH IH N
perceptive,1.98,P AH R S EH P T IH V
perceptual,0.08,P AH R S EH P CH UW AH L
perch,0.98,P AH R CH
percolator,0.08,P AH R K AH L EY T AH R
percussion,0.57,P AH R K AH SH IH N
percussive,0.06,P AH R K AH S IH V
peremptory,0.14,P AH R EH M P T AH R IY
perennial,0.29,P AH R EH N IY AH L
perfect,158.65,P AH R F EH K T
perfection,5.39,P AH R F EH K SH IH N
perfectionism,0.08,P AH R F EH K SH AH N IH Z AH M
perfectionist,0.78,P AH R F EH K SH AH N IH S T
perfectly,43.25,P AH R F AH K L IY
perfidious,0.16,P AH R F IH D IY AH S
perforate,0.18,P AH R F AH R EY T
perforation,0.16,P AH R F AH R EY SH IH N
perform,16.1,P AH R F AO R M
